680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,
2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11560,,,,,,,,,,,,,,,,,,,
1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,
1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10540,,,,,,,,,,,,,,,,,,,
1360,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11220,,,,,,,,,,,,,,,,,,,
2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11900,11900,,,,,,,,,,,,,,,,,,,
680,1020,1360,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10200,,,,,,,,,,,,,,,,,,,
1360,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,10880,,,,,,,,,,,,,,,,,,,,
2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11900,11900,,,,,,,,,,,,,,,,,,,,
680,1700,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10540,,,,,,,,,,,,,,,,,,,,
2040,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10880,11220,11560,11560,,,,,,,,,,,,,,,,,,,,
340,680,2040,2380,2720,3060,3400,3740,4080,4420,4760,5100,5440,5780,6120,6460,6800,7140,7480,7820,8160,8500,8840,9180,9520,9860,10200,10540,10540,,,,,,,,,,,,,,,,,,,,
